PCA,MCD,OCSVM,LOF,CBLOF,KNN,HBOS,ABOD,IForest,FB
0.5667,0.4,0.5333,0.5,0.4667,0.5,0.6,0.4333,0.5333,0.5
0.1212,0.1818,0.1515,0.3939,0.2121,0.3333,0.0909,0.3333,0.0909,0.3636
0.0,0.0,0.0,0.0,0.0,0.0,0.1754,0.0,0.0,0.0
0.473,0.6963,0.5318,0.419,0.6363,0.521,0.563,0.4142,0.5666,0.4166
0.1176,0.2353,0.2353,0.2353,0.1176,0.4706,0.0588,0.4706,0.1176,0.2353
0.5507,0.4493,0.4348,0.1449,0.2319,0.3478,0.4638,0.2754,0.5217,0.1739
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
0.3824,0.1176,0.3824,0.0441,0.3824,0.1324,0.3382,0.1324,0.3676,0.0441
0.8846,0.6538,0.9615,0.0,0.9615,0.3077,0.8077,0.1538,0.9615,0.0
0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.4,0.5,0.5
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.332,0.1406,0.3359,0.3125,0.3672,0.3828,0.0977,0.3398,0.3047,0.3125
0.4312,0.5229,0.422,0.422,0.4862,0.5046,0.5505,0.5229,0.5046,0.4404
0.951,0.7569,0.9559,0.1372,0.248,0.2146,0.9327,0.1919,0.9772,0.1002
0.5106,0.8511,0.5957,0.6383,0.617,0.8085,0.3191,0.8298,0.5745,0.6383
0.9412,0.9706,1.0,0.1765,1.0,0.1765,1.0,0.0294,0.5294,0.1765
0.0,0.0,0.0714,0.0714,0.1429,0.0714,0.0,0.1429,0.0714,0.0714
