PCA,MCD,OCSVM,LOF,CBLOF,KNN,HBOS,ABOD,IForest,FB
0.0607,0.4106,0.0434,0.0638,1.1364,0.0709,1.0251,0.7412,0.2196,0.5145
0.1334,0.8274,0.0828,0.0762,0.0839,0.1057,0.008,0.2609,0.2474,0.5763
0.0234,0.7907,1.5167,1.5299,0.2508,1.5822,0.0242,2.0627,0.5526,10.3841
0.0119,1.5815,1.4477,0.6484,0.206,0.6957,0.0162,1.3174,0.502,4.6427
0.0026,0.6104,0.0395,0.0271,0.0594,0.0522,0.0032,0.202,0.223,0.2506
0.0027,0.4222,0.0861,0.0814,0.0941,0.1125,0.0055,0.3229,0.2345,0.5724
0.0015,0.036,0.0015,0.002,0.0289,0.0045,0.0035,0.0193,0.1698,0.0262
0.0069,1.3707,1.0034,0.394,0.1308,0.4136,0.0085,1.065,0.4591,2.8248
0.0108,1.3952,1.1052,0.5273,0.202,0.5752,0.0127,1.0719,0.4567,3.8326
0.0019,0.0476,0.0051,0.0059,0.0383,0.013,0.0059,0.0491,0.1684,0.0528
0.0013,0.0342,0.0018,0.0023,0.0288,0.006,0.0021,0.0264,0.1495,0.0257
0.0585,1.4729,4.6428,5.5231,0.748,5.7838,0.0382,6.1933,1.0516,32.6109
0.0018,0.054,0.0108,0.0088,0.0535,0.0247,0.0025,0.107,0.2027,0.0905
0.0208,7.2684,50.2673,7.8305,0.3932,5.6412,0.0199,9.9563,1.7367,52.1866
0.0236,0.048,0.0049,0.0054,0.034,0.012,0.0065,0.0454,0.1593,0.0435
0.0585,5.3322,1.0811,1.2912,0.1678,1.3152,0.0414,1.584,0.5,8.6787
0.0013,0.0314,0.0015,0.0022,0.0331,0.0063,0.0016,0.0289,0.1492,0.0225
