PCA,MCD,OCSVM,LOF,CBLOF,KNN,HBOS,ABOD,IForest,FB
0.7859,0.7764,0.7875,0.787,0.7797,0.7921,0.8086,0.7523,0.8155,0.7843
0.5723,0.8089,0.6509,0.8838,0.7869,0.8874,0.5741,0.8886,0.647,0.8818
0.5021,0.3745,0.4946,0.4621,0.7537,0.3713,0.8509,0.4815,0.7707,0.4398
0.5972,0.806,0.661,0.5762,0.7913,0.6901,0.7452,0.5876,0.6899,0.573
0.6431,0.8498,0.7845,0.9315,0.8843,0.961,0.7265,0.9522,0.772,0.9377
0.944,0.7689,0.9281,0.5807,0.7759,0.728,0.8236,0.6028,0.9192,0.6195
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9397,1.0,1.0
0.94,0.8395,0.9333,0.4484,0.972,0.741,0.9336,0.6897,0.9439,0.448
0.9978,0.9962,1.0,0.2696,1.0,0.9532,0.997,0.7649,0.9998,0.2751
0.9246,0.9155,0.9282,0.9176,0.8838,0.9366,0.9683,0.9085,0.9254,0.9197
0.7976,0.7976,0.8512,0.9048,0.9286,0.9167,0.8452,0.8571,0.8036,0.881
0.8492,0.8315,0.8482,0.704,0.8441,0.8461,0.5726,0.7841,0.8076,0.7135
0.6051,0.6637,0.5872,0.5854,0.6377,0.6888,0.7105,0.6852,0.6516,0.5936
0.9881,0.9904,0.9901,0.5334,0.5929,0.6542,0.9835,0.6225,0.9973,0.5143
0.7632,0.945,0.7605,0.8676,0.8361,0.9065,0.5996,0.8975,0.8262,0.8603
0.9998,0.9992,1.0,0.47,1.0,0.7623,1.0,0.1431,0.9848,0.4534
0.4512,0.4242,0.4591,0.3955,0.4721,0.4164,0.3223,0.4503,0.3798,0.3711
