,tweet,user,user_statuses_count,user_followers,user_location,user_verified,fav_count,rt_count,tweet_date
0,@Craig_Spur @kev_g1 @davspurs We have put a number now on every single head within the Covid world which makes people in the public feel that every loss is personal to them and I do get it but you think people are gonna go out an exercise when we tell them 17m die globally a year through crap lifestyles?,Covyid1882_UltimateFandemic,1015,191,,False,0,0,2020-10-29 12:53:25
1,"@BrownCheong @itvnews It cos he drains the life force of 21 year olds every alternate wednesday. Trust me it works, I myself was a triathlete before I got stewed.
#TrumpIsLosing",GhostOfTheCovidBat,3,0,,False,0,0,2020-10-29 12:53:25
2,"@realDonaldTrump COVID COVID COVID!
COVID COVID COVID!

#TrumpVirusDeathToll232K",Julie Harrison,13860,782,,False,0,0,2020-10-29 12:53:24
3,"@Brad_kemble_84 It’s a spiritual warfare going on look around. 
COVID-19, race relations, 👮🏻‍♀️vs. 🧔🏾, everybody is wearing a mask😷 online schooling is becoming the norm, social distancing, storms⛈ etc. The universe is speaking 🌎.",Coach DaniB.,1315,186,,False,0,0,2020-10-29 12:53:24
4,"@davidchang Guess he can “look past” kids in cages, a dismantling of our democracy, 200,000+ dead because of a Covid response that ignores science, and the wave of hate that has crawled out from under a rock because of Trump. Glad you called him out.",Susana Leyva 🎧,6093,95,"Chicago, IL",False,0,0,2020-10-29 12:53:24
5,my dad really thought going out at 3am the chances of me getting covid is higher 😐,faze nose,208956,413,,False,0,0,2020-10-29 12:53:24
6,@Fraudbu55677088 @HuffPost I guess it doesn’t matter that Q2 was devastating and we are still well below pre COVID levels.  You might want to look at if America is winning first.....unless your just a troll.,Rachel Stroup,251,15,United States,False,0,0,2020-10-29 12:53:24
7,"Many of the FB ads run by Commonwealth Leaders Fund try to blame “Phila. progressives” for businesses being closed across the state, as opposed to an irresponsible Repub. state legislature that has obstructed the governor’s plans to reduce COVID spread.
https://t.co/0y2dttckoY",Philly Power Research,1764,1670,"Philadelphia, PA",False,0,0,2020-10-29 12:53:24
8,@AyuAmiraa_ wth patut la kena covid,: 🦋 :,67185,441,"Putrajaya, Malaysia",False,0,0,2020-10-29 12:53:23
9,"Nursing home was a hell hole during covid for staff, patients and families who couldn’t see their loved ones, it’s turned around so much..with staff and pts being tested every week",Sabrina,33125,156,,False,0,0,2020-10-29 12:53:23
10,"Exciting times! Last night after over 12 months in the making (delayed due to Covid 👎🏼) I’ve been matched with my first mentee from #TheGirlsNetwork ❤️

Looking forward to our first virtual meeting next week! @TheGirlsNet https://t.co/smWxNSlNVr",Ellie Rees,12650,1867,North East | Teesside ,False,0,0,2020-10-29 12:53:23
11,"@London_First @londonchamber @fsb_policy This significant intervention suggests 2 things:

1) firms don't believe Boris Johnson's  claim that TfL was ""bankrupt"" before Covid-19

2) they don't want fares hikes without evidence.

Dept for Transport response: it would be ""inappropriate"" to publish details of talks now",Joe Murphy,11266,34428,"London, where else",True,0,0,2020-10-29 12:53:23
12,"@UBuffalo @UBuffaloCTSI director Tim Murphy on #COVID-19, seven months later: What we have learned https://t.co/DusVWkKKY5",Ellen Goldbaum-Kolin,2212,184,"Buffalo, NY",False,0,0,2020-10-29 12:53:23
13,@MBuhari Mainly you and your family and all the wicked politicians Covid 19 Second Wave go visit inshallah,Ayo🌟Mide⭐️ #MadeInLagos🇳🇬🦅,30817,6945,"Lagos, Nigeria",False,0,0,2020-10-29 12:53:22
14,@MSNBC @MaddowBlog He thinks COVID is going to end after the election. Disregard everything this man has to say.,Kenny,473,1,United States,False,0,0,2020-10-29 12:53:22
15,"@PeteButtigieg @LoViLu Lol, she thinks giving people COVID-19 and leaving them stranded in the cold is a strategy.",Dan who pays his taxes,29609,592,"Denver, CO",False,0,0,2020-10-29 12:53:22
16,‘They are on a different planet’: CNN panel shocked by Jared Kushner’s delusional COVID predictions – Raw Story https://t.co/CyZXMasIrb,Republicans For Better Government,22530,230,Planet Earth,False,0,0,2020-10-29 12:53:21
17,"@HumzaYousaf Did @scotgov really mean to use this abbreviation?

Expert Reference Group on Covid-19 and ethnicity (ERG)",Susie Arnott ☘️🕷🚴🏻‍♀️,20852,827,Berwickshire,False,0,0,2020-10-29 12:53:21
18,@ABC I’m not taking no vaccine for the COVID cause I’m sorry there’s no way it’s going to work because this hasn’t been tested like it should be let’s see the president and his family take this but they ain’t going to,MamaBear_5687,243,11,,False,0,0,2020-10-29 12:53:20
19,"You really think our president cares about us?

Look at all these people crammed together, shoulder to shoulder, with no mask, willing to become carriers of covid, all for and organized by yours truly. https://t.co/Pt5atMq9Ag",Ðᶓẋƭᶓȓ Ȧʅʅḁḡḁḧṙᶓỉ - #BlackLivesMatter,16965,655,"Fayetteville, NC",False,0,0,2020-10-29 12:53:20
20,@Lisa_Marychen @pbs0033 He won’t get covid but he might get pinkeye,TheLincolonProject,779,136,,False,0,0,2020-10-29 12:53:20
21,"@TeamJoeWilson Joe Wilson, facilitating the spread of covid and putting himself and his team at risk in all 5 #SC02 counties. 🤦",Olivia Bajko,5454,151,"South Carolina, USA",False,0,0,2020-10-29 12:53:19
22,"@builtofsnow Covid aside, that’s great! Congratulations!! 🍾🥳 And you never know, Covid might not fuck that up for you",MatMat,2119,24,,False,0,0,2020-10-29 12:53:19
23,How good is track and trace when my dad got a positive covid test Monday and still no one has got in touch to ask him about his recents contacts and I haven’t been told to isolate 🤦🏼‍♀️,Katie Stewart,2830,89,,False,0,0,2020-10-29 12:53:19
24,@duty2warn @peace1 Yep. He even said that Covid could be a good thing because it would give him an excuse to not touch those disgusting people (his supporters).,Amy B #resist 🌊😷,98801,3082,,False,0,0,2020-10-29 12:53:18
25,"@Prospectally2 @mrjamesob Tbh is there any one answer to Covid? I do think everyone is a potential ""death spreader"" but how many individuals are thinking like that and taking the responsible courses of action that are needed? If they can't, then sadly, a government must intervene.",Ruth Shaw,4059,185,Cheshire,False,0,0,2020-10-29 12:53:18
26,"Watch on #Periscope: #158. COVIDCalls 10.28.2020 COVID-19 AND THE DIGITAL DIVIDE

https://t.co/URRTqAEp1R",Scott Knowles,17801,8790,Philadelphia,False,0,0,2020-10-29 12:53:18
27,"In case you missed this @CBCNews story. UPS executive granted special ministerial exemption from Canada's COVID-19 quarantine. Union, opposition parties question why foreign affairs minister OK'ed trip to Toronto https://t.co/AmCDDyqVHP @TeamstersCanada @UPS",Labour Council (Ott),3467,2984,Ottawa,False,0,0,2020-10-29 12:53:18
28,"I'm just saying that the media jumped all over Obama if he had the temerity to mention good jobs numbers while the economy was recovering from the Great Recession. More than 1,000 people died of COVID *yesterday*, Trump has his economic pom poms out &amp; it's just accepted.",scary lawyerguy,46043,13133,Dirty Jersey,False,0,0,2020-10-29 12:53:18
29,Japan’s Takeda Pharmaceutical said it would import and distribute 50 million doses of Moderna’s coronavirus vaccine candidate https://t.co/4ggF5TYSd8,Markets Today,359781,7188,"Tamil Nadu, India",False,0,0,2020-10-29 12:53:18
30,"@london_lab @covid_moonshot @jchodera @griffen_ed @PostEra_AI @DiamondLightSou C=N might be a A.O. metabolism hotspot that can be checked out using a CHF2 addition (Baran litmus). May be worth a try?
https://t.co/MmFHibD28a",John Spencer Lab,108,241,"University of Sussex, England",False,0,0,2020-10-29 12:53:18
31,"@bangordailynews All we hear from Trump is how great things are &amp; will be again, again.
Biden is the one obsessed with dark winter and death, closing the country back down, taxing to oblivion, how horrible things were before Covid hit.
But that happens to old senile seniors approaching death!",Abigail@MaineDog,449,9,,False,0,0,2020-10-29 12:53:17
32,Glad to see Christie's bout of covid has made him rethink his diet choices. https://t.co/HPs6Vld5Ow,rbe,133795,1808,"New York, New York",False,0,0,2020-10-29 12:53:17
